year,measure,Nominal values,Adjusted to inflation (base: 2010 prices)
2002,Mean,242.81172813299503,415.920159290746
2002,Median,184.98489158640382,316.8666775966306
2003,Mean,259.4095068488032,424.05888576176363
2003,Median,194.37770748439831,317.7508606143833
2004,Mean,279.7240772166225,432.7870960246517
2004,Median,216.79305987073965,335.42067509296385
2005,Mean,301.20930469788635,430.5233914026426
2005,Median,229.54011312338443,328.08544232703827
2006,Mean,330.9547702294939,433.34086685189027
2006,Median,250,327.3414570753874
2007,Mean,353.14965673692245,423.2711124968645
2007,Median,270.5603397530285,324.2828467198696
2008,Mean,439.51360006066005,478.89631713685895
2008,Median,337.0057091082408,367.2031830727367
2009,Mean,476.5563445429787,510.4403535560396
2009,Median,356.2005718866997,381.5270700573224
2010,Mean,539.0041539488724,539.0041539488724
2010,Median,393.3,393.3
2011,Mean,587.3311184394207,541.104888547408
2011,Median,428.24016031197056,394.5352748085893
2012,Mean,644.8833146778085,599.7873528876423
2012,Median,495.50108684400794,460.85125551682114
2013,Mean,732.3396217807543,684.6336634760777
2013,Median,580.5511582016588,542.732981329629
2014,Mean,812.2481150610198,736.7279724274165
2014,Median,661.9926515578923,600.4427648409578
2015,Mean,834.881000562961,728.1062249640952
2015,Median,666.6113053043755,581.3569127771209
2016,Mean,867.7883727669146,740.9855000966999
2016,Median,696.6724539687133,594.8733618792775
2017,Mean,896.8206705380958,722.1891381446234
2017,Median,720.3075176069515,580.04714033580035
2018,Mean,946.9681508775144,743.1369064264194
2018,Median,772.9762638785268,606.596102463893
2019,Mean,1008.416249815368,754.7321555937904
2019,Median,819.86177393168,613.6117342830383
2020,Mean,1004.6289574962669,714.7148322444058
2020,Median,811.0874003801382,577.0251703105977
2021,Mean,1111.7530895378402,721.8650522704966
2021,Median,896.0660755497643,581.8187424452695
2022,Mean,1339.5275202928883,777.2779469062788
2022,Median,1075.8158596603328,624.2558887204942
